DATE,TICKER,RET,EuropePresence,PostGDPR,Interaction
24/02/2017,PRGS,0,1,1,1
27/02/2017,PRGS,0.009144,1,1,1
28/02/2017,PRGS,-0.01511,1,1,1
01/03/2017,PRGS,0.01848,1,1,1
02/03/2017,PRGS,-0.006162,1,1,1
03/03/2017,PRGS,-0.008956,1,1,1
06/03/2017,PRGS,-0.007994,1,1,1
07/03/2017,PRGS,0.012263,1,1,1
08/03/2017,PRGS,0.001038,1,1,1
09/03/2017,PRGS,-0.000692,1,1,1
10/03/2017,PRGS,0.007612,1,1,1
13/03/2017,PRGS,0.00206,1,1,1
14/03/2017,PRGS,-0.007539,1,1,1
15/03/2017,PRGS,0.001727,1,1,1
16/03/2017,PRGS,0.003102,1,1,1
17/03/2017,PRGS,-0.006529,1,1,1
20/03/2017,PRGS,-0.014182,1,1,1
21/03/2017,PRGS,-0.024561,1,1,1
22/03/2017,PRGS,0.002878,1,1,1
23/03/2017,PRGS,0.009684,1,1,1
24/03/2017,PRGS,-0.004263,1,1,1
27/03/2017,PRGS,0.005708,1,1,1
28/03/2017,PRGS,0.003902,1,1,1
29/03/2017,PRGS,0.013074,1,1,1
30/03/2017,PRGS,0.023718,1,1,1
31/03/2017,PRGS,-0.010222,1,1,1
03/04/2017,PRGS,0.003442,1,1,1
04/04/2017,PRGS,-0.000686,1,1,1
05/04/2017,PRGS,0.00309,1,1,1
06/04/2017,PRGS,0.017454,1,1,1
07/04/2017,PRGS,-0.001345,1,1,1
10/04/2017,PRGS,-0.002695,1,1,1
11/04/2017,PRGS,0.006079,1,1,1
12/04/2017,PRGS,-0.014099,1,1,1
13/04/2017,PRGS,-0.009534,1,1,1
17/04/2017,PRGS,0.014094,1,1,1
18/04/2017,PRGS,-0.002712,1,1,1
19/04/2017,PRGS,0.002719,1,1,1
20/04/2017,PRGS,0.002373,1,1,1
21/04/2017,PRGS,-0.002705,1,1,1
24/04/2017,PRGS,0.008138,1,1,1
25/04/2017,PRGS,0.0074,1,1,1
26/04/2017,PRGS,0.004341,1,1,1
27/04/2017,PRGS,-0.005984,1,1,1
28/04/2017,PRGS,-0.00602,1,1,1
01/05/2017,PRGS,0.003701,1,1,1
04/01/2016,SNPS,-0.015128,0,0,0
05/01/2016,SNPS,0.001113,0,0,0
06/01/2016,SNPS,-0.014676,0,0,0
07/01/2016,SNPS,-0.023245,0,0,0
08/01/2016,SNPS,-0.021488,0,0,0
11/01/2016,SNPS,-0.006139,0,0,0
12/01/2016,SNPS,-0.001663,0,0,0
13/01/2016,SNPS,-0.035459,0,0,0
14/01/2016,SNPS,0.017765,0,0,0
15/01/2016,SNPS,-0.00703,0,0,0
19/01/2016,SNPS,-0.006592,0,0,0
20/01/2016,SNPS,0.006144,0,0,0
21/01/2016,SNPS,-0.006106,0,0,0
22/01/2016,SNPS,0.024822,0,0,0
25/01/2016,SNPS,-0.013909,0,0,0
26/01/2016,SNPS,0.016051,0,0,0
27/01/2016,SNPS,-0.006462,0,0,0
28/01/2016,SNPS,0.002409,0,0,0
29/01/2016,SNPS,0.031002,0,0,0
01/02/2016,SNPS,-0.007459,0,0,0
02/02/2016,SNPS,-0.00775,0,0,0
03/02/2016,SNPS,0.006627,0,0,0
04/02/2016,SNPS,0.007759,0,0,0
05/02/2016,SNPS,-0.027998,0,0,0
08/02/2016,SNPS,-0.008161,0,0,0
09/02/2016,SNPS,-0.008713,0,0,0
10/02/2016,SNPS,0.01001,0,0,0
11/02/2016,SNPS,-0.000725,0,0,0
12/02/2016,SNPS,0.01403,0,0,0
16/02/2016,SNPS,0.024809,0,0,0
17/02/2016,SNPS,0.01513,0,0,0
18/02/2016,SNPS,0.008943,0,0,0
19/02/2016,SNPS,0.010909,0,0,0
22/02/2016,SNPS,0.005396,0,0,0
23/02/2016,SNPS,-0.013864,0,0,0
24/02/2016,SNPS,0.002721,0,0,0
25/02/2016,SNPS,0.007463,0,0,0
26/02/2016,SNPS,0.01459,0,0,0
29/02/2016,SNPS,-0.009956,0,0,0
01/03/2016,SNPS,0.025251,0,0,0
02/03/2016,SNPS,0.000218,0,0,0
03/03/2016,SNPS,-0.000436,0,0,0
04/03/2016,SNPS,0.00763,0,0,0
07/03/2016,SNPS,-0.001947,0,0,0
08/03/2016,SNPS,-0.010839,0,0,0
09/03/2016,SNPS,0.003287,0,0,0
10/03/2016,SNPS,-0.005679,0,0,0
11/03/2016,SNPS,0.014938,0,0,0
14/03/2016,SNPS,0.000216,0,0,0
15/03/2016,SNPS,0.004328,0,0,0
16/03/2016,SNPS,0.008188,0,0,0
17/03/2016,SNPS,0.007694,0,0,0
18/03/2016,SNPS,0.013362,0,0,0
21/03/2016,SNPS,-0.003767,0,0,0
22/03/2016,SNPS,0.007143,0,0,0
23/03/2016,SNPS,-0.007718,0,0,0
24/03/2016,SNPS,0.006306,0,0,0
28/03/2016,SNPS,-0.003969,0,0,0
29/03/2016,SNPS,0.012374,0,0,0
30/03/2016,SNPS,-0.0029,0,0,0
31/03/2016,SNPS,0.006441,0,0,0
01/04/2016,SNPS,0.017341,0,0,0
04/04/2016,SNPS,-0.007102,0,0,0
05/04/2016,SNPS,-0.010423,0,0,0
06/04/2016,SNPS,0.003098,0,0,0
07/04/2016,SNPS,-0.008853,0,0,0
08/04/2016,SNPS,0.002077,0,0,0
11/04/2016,SNPS,-0.00767,0,0,0
12/04/2016,SNPS,-0.001044,0,0,0
13/04/2016,SNPS,0.008992,0,0,0
14/04/2016,SNPS,-0.003109,0,0,0
15/04/2016,SNPS,0.005821,0,0,0
18/04/2016,SNPS,0.009921,0,0,0
19/04/2016,SNPS,0.007777,0,0,0
20/04/2016,SNPS,-0.013404,0,0,0
21/04/2016,SNPS,0.01091,0,0,0
22/04/2016,SNPS,-0.001222,0,0,0
25/04/2016,SNPS,-0.004281,0,0,0
26/04/2016,SNPS,-0.007166,0,0,0
27/04/2016,SNPS,0.002475,0,1,0
28/04/2016,SNPS,-0.0072,0,1,0
29/04/2016,SNPS,-0.015334,0,1,0
02/05/2016,SNPS,0.024411,0,1,0
03/05/2016,SNPS,-0.007601,0,1,0
04/05/2016,SNPS,-0.01035,0,1,0
05/05/2016,SNPS,-0.00753,0,1,0
06/05/2016,SNPS,0.008641,0,1,0
09/05/2016,SNPS,0.002716,0,1,0
10/05/2016,SNPS,0.01417,0,1,0
11/05/2016,SNPS,-0.009657,0,1,0
12/05/2016,SNPS,0.005602,0,1,0
13/05/2016,SNPS,-0.011554,0,1,0
16/05/2016,SNPS,0.014611,0,1,0
17/05/2016,SNPS,-0.017075,0,1,0
18/05/2016,SNPS,0.012139,0,1,0
19/05/2016,SNPS,0.007858,0,1,0
20/05/2016,SNPS,0.02421,0,1,0
23/05/2016,SNPS,-0.002404,0,1,0
24/05/2016,SNPS,0.027711,0,1,0
25/05/2016,SNPS,0.001759,0,1,0
26/05/2016,SNPS,0.001365,0,1,0
27/05/2016,SNPS,0.007986,0,1,0
31/05/2016,SNPS,-0.001546,0,1,0
01/06/2016,SNPS,0.006,0,1,0
02/06/2016,SNPS,0.00808,0,1,0
03/06/2016,SNPS,-0.007061,0,1,0
06/06/2016,SNPS,0.008457,0,1,0
07/06/2016,SNPS,0.005527,0,1,0
08/06/2016,SNPS,0.012889,0,1,0
09/06/2016,SNPS,-0.006736,0,1,0
10/06/2016,SNPS,-0.010927,0,1,0
13/06/2016,SNPS,-0.006857,0,1,0
14/06/2016,SNPS,0.000575,0,1,0
15/06/2016,SNPS,0.006901,0,1,0
16/06/2016,SNPS,-0.00019,0,1,0
17/06/2016,SNPS,-0.001142,0,1,0
20/06/2016,SNPS,0.012581,0,1,0
21/06/2016,SNPS,-0.000565,0,1,0
22/06/2016,SNPS,0.000942,0,1,0
23/06/2016,SNPS,0.014866,0,1,0
24/06/2016,SNPS,-0.034304,0,1,0
27/06/2016,SNPS,-0.014401,0,1,0
28/06/2016,SNPS,0.015196,0,1,0
29/06/2016,SNPS,0.017079,0,1,0
30/06/2016,SNPS,0.020377,0,1,0
01/07/2016,SNPS,-0.005732,0,1,0
05/07/2016,SNPS,-0.003906,0,1,0
06/07/2016,SNPS,0.003361,0,1,0
07/07/2016,SNPS,0.001489,0,1,0
08/07/2016,SNPS,0.00799,0,1,0
11/07/2016,SNPS,0.007742,0,1,0
12/07/2016,SNPS,0.00439,0,1,0
13/07/2016,SNPS,-0.000728,0,1,0
14/07/2016,SNPS,-0.001458,0,1,0
15/07/2016,SNPS,-0.006753,0,1,0
18/07/2016,SNPS,-0.002021,0,1,0
19/07/2016,SNPS,0.004971,0,1,0
20/07/2016,SNPS,0.005497,0,1,0
21/07/2016,SNPS,-0.007835,0,1,0
22/07/2016,SNPS,0.006612,0,1,0
25/07/2016,SNPS,-0.003467,0,1,0
26/07/2016,SNPS,-0.008239,0,1,0
27/07/2016,SNPS,-0.002584,0,1,0
28/07/2016,SNPS,0.005182,0,1,0
29/07/2016,SNPS,-0.002762,0,1,0
01/08/2016,SNPS,0.007201,0,1,0
02/08/2016,SNPS,-0.007699,0,1,0
03/08/2016,SNPS,0.004249,0,1,0
04/08/2016,SNPS,0.005887,0,1,0
05/08/2016,SNPS,0.008778,0,1,0
08/08/2016,SNPS,-0.000544,0,1,0
09/08/2016,SNPS,0.00653,0,1,0
10/08/2016,SNPS,0.004685,0,1,0
11/08/2016,SNPS,0.002332,0,1,0
12/08/2016,SNPS,-0.002505,0,1,0
15/08/2016,SNPS,0.005741,0,1,0
16/08/2016,SNPS,-0.003568,0,1,0
17/08/2016,SNPS,0.000537,0,1,0
18/08/2016,SNPS,0.046699,0,1,0
19/08/2016,SNPS,0.001538,0,1,0
22/08/2016,SNPS,-0.001195,0,1,0
23/08/2016,SNPS,0.007006,0,1,0
24/08/2016,SNPS,-0.00543,0,1,0
25/08/2016,SNPS,0.002218,0,1,0
26/08/2016,SNPS,0.00681,0,1,0
29/08/2016,SNPS,0.002536,0,1,0
30/08/2016,SNPS,-0.003542,0,1,0
31/08/2016,SNPS,0.003554,0,1,0
01/09/2016,SNPS,-0.00253,0,1,0
02/09/2016,SNPS,0.008962,0,1,0
06/09/2016,SNPS,0.002179,0,1,0
07/09/2016,SNPS,0.002174,0,1,0
08/09/2016,SNPS,-0.003671,0,1,0
09/09/2016,SNPS,-0.023279,0,1,0
12/09/2016,SNPS,0.013203,0,1,0
13/09/2016,SNPS,-0.019631,0,1,0
14/09/2016,SNPS,-0.003625,0,1,0
15/09/2016,SNPS,0.011781,0,1,0
16/09/2016,SNPS,-0.006849,0,1,0
19/09/2016,SNPS,0.009138,0,1,0
20/09/2016,SNPS,-0.003246,0,1,0
21/09/2016,SNPS,0.01097,0,1,0
22/09/2016,SNPS,0.011529,0,1,0
23/09/2016,SNPS,-0.004693,0,1,0
26/09/2016,SNPS,-0.003368,0,1,0
27/09/2016,SNPS,0.007435,0,1,0
28/09/2016,SNPS,0.004864,0,1,0
29/09/2016,SNPS,-0.013854,0,1,0
30/09/2016,SNPS,0.00457,0,1,0
03/10/2016,SNPS,-0.007414,0,1,0
04/10/2016,SNPS,-0.002037,0,1,0
05/10/2016,SNPS,0.014628,0,1,0
06/10/2016,SNPS,0.003018,0,1,0
07/10/2016,SNPS,-0.009527,0,1,0
10/10/2016,SNPS,0.021937,0,1,0
11/10/2016,SNPS,-0.016347,0,1,0
12/10/2016,SNPS,0.00319,0,1,0
13/10/2016,SNPS,-0.004685,0,1,0
14/10/2016,SNPS,0.004539,0,1,0
17/10/2016,SNPS,0,0,1,0
18/10/2016,SNPS,-0.002176,0,1,0
19/10/2016,SNPS,0.002348,0,1,0
20/10/2016,SNPS,-0.009538,0,1,0
21/10/2016,SNPS,-0.001014,0,1,0
24/10/2016,SNPS,0.005412,0,1,0
25/10/2016,SNPS,-0.01413,0,1,0
26/10/2016,SNPS,-0.000853,0,1,0
27/10/2016,SNPS,-0.003928,0,1,0
28/10/2016,SNPS,0.000686,0,1,0
31/10/2016,SNPS,0.016104,0,1,0
01/11/2016,SNPS,-0.017029,0,1,0
02/11/2016,SNPS,-0.006346,0,1,0
03/11/2016,SNPS,-0.003366,0,1,0
04/11/2016,SNPS,-0.001472,0,1,0
07/11/2016,SNPS,0.023938,0,1,0
08/11/2016,SNPS,0.003219,0,1,0
09/11/2016,SNPS,-0.003377,0,1,0
10/11/2016,SNPS,-0.006608,0,1,0
11/11/2016,SNPS,0.017056,0,1,0
14/11/2016,SNPS,0.003186,0,1,0
15/11/2016,SNPS,0.004179,0,1,0
16/11/2016,SNPS,0.011653,0,1,0
17/11/2016,SNPS,0.011848,0,1,0
18/11/2016,SNPS,-0.00618,0,1,0
21/11/2016,SNPS,0.003273,0,1,0
22/11/2016,SNPS,-0.000163,0,1,0
23/11/2016,SNPS,-0.003589,0,1,0
25/11/2016,SNPS,0.007859,0,1,0
28/11/2016,SNPS,-0.004224,0,1,0
29/11/2016,SNPS,-0.002121,0,1,0
30/11/2016,SNPS,-0.01128,0,1,0
01/12/2016,SNPS,-0.060185,0,1,0
02/12/2016,SNPS,0.00475,0,1,0
05/12/2016,SNPS,0.005428,0,1,0
06/12/2016,SNPS,0.010101,0,1,0
07/12/2016,SNPS,0.015862,0,1,0
08/12/2016,SNPS,0.006619,0,1,0
09/12/2016,SNPS,-0.006913,0,1,0
12/12/2016,SNPS,0.017317,0,1,0
13/12/2016,SNPS,0.006008,0,1,0
14/12/2016,SNPS,-0.005309,0,1,0
15/12/2016,SNPS,0.006838,0,1,0
16/12/2016,SNPS,-0.004307,0,1,0
